label,factor,window_upstream,window_downstream,ip,wce,normalization,replicate,minimum_value,max_quantile,color
wt,polii,0,200,Dme_emb_14-17h_Rpb3_1_rpm.bw,Dme_emb_14-17h_WCE_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
wt,polii,0,200,Dme_emb_14-17h_Rpb3_2_rpm.bw,Dme_emb_14-17h_WCE_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
wt,polii,0,200,Dme_emb_14-17h_Rpb3_3_rpm.bw,Dme_emb_14-17h_WCE_3_rpm.bw,TRUE,3,2,0.8,"""#3d5782"""
mut,polii,0,200,Dme_emb_orc4_14-17h_Rpb3_1_rpm.bw,Dme_emb_orc4_14-17h_WCE_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
mut,polii,0,200,Dme_emb_orc4_14-17h_Rpb3_2_rpm.bw,Dme_emb_orc4_14-17h_WCE_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
mut,polii,0,200,Dme_emb_orc4_14-17h_Rpb3_3_rpm.bw,Dme_emb_orc4_14-17h_WCE_3_rpm.bw,TRUE,3,2,0.8,"""#3d5782"""
rescue,polii,0,200,dme_emb_act_Lola_I_orc4_14-17h_Rpb3_1_R2_rpm.bw,dme_emb_act_Lola_I_orc4_14-17h_WCE_1_R2_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
rescue,polii,0,200,dme_emb_act_Lola_I_orc4_14-17h_Rpb3_2_R2_rpm.bw,dme_emb_act_Lola_I_orc4_14-17h_WCE_2_R2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
wt,ATAC,150,150,../bw/dme_emb_orer_14_17h_atac_8.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
wt,ATAC,150,150,../bw/dme_emb_orer_14_17h_atac_9.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
mut,ATAC,150,150,dme_emb_28267_14_17h_atac_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
mut,ATAC,150,150,dme_emb_28267_14_17h_atac_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
rescue,ATAC,150,150,dme_emb_act_lola_PI_28267_14_17h_atac_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
rescue,ATAC,150,150,dme_emb_act_lola_PI_28267_14_17h_atac_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
