label,factor,window_upstream,window_downstream,ip,wce,normalization,replicate,minimum_value,max_quantile,color
Epidermis,polii,0,200,Epidermis_7021_INTACT_Rpb3_14-17h_1_rpm.bw,Epidermis_7021_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Epidermis,polii,0,200,Epidermis_7021_INTACT_Rpb3_14-17h_2_rpm.bw,Epidermis_7021_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Gut,polii,0,200,Gut_110394_INTACT_Rpb3_14-17h_1_rpm.bw,Gut_110394_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Gut,polii,0,200,Gut_110394_INTACT_Rpb3_14-17h_2_rpm.bw,Gut_110394_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Muscle,polii,0,200,Muscle_mef2_INTACT_Rpb3_14-17h_1_rpm.bw,Muscle_mef2_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Muscle,polii,0,200,Muscle_mef2_INTACT_Rpb3_14-17h_2_rpm.bw,Muscle_mef2_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Neuron,polii,0,200,Neuron_elav_INTACT_Rpb3_14-17h_1_rpm.bw,Neuron_elav_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Neuron,polii,0,200,Neuron_elav_INTACT_Rpb3_14-17h_2_rpm.bw,Neuron_elav_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Trachea,polii,0,200,Trachea_8807_INTACT_Rpb3_14-17h_1_rpm.bw,Trachea_8807_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Trachea,polii,0,200,Trachea_8807_INTACT_Rpb3_14-17h_2_rpm.bw,Trachea_8807_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Trachea_mut,polii,0,200,Trachea_8807_orc4_INTACT_Rpb3_14-17h_1_R2_rpm.bw,Trachea_8807_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Trachea,ATAC,150,150,Trachea_INTACT_14_17h_ATAC_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
Trachea,ATAC,150,150,Trachea_INTACT_14_17h_ATAC_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
Trachea_mut,ATAC,150,150,dme_trachea_intact_orc4_14_17h_ATAC_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
Trachea_mut,ATAC,150,150,dme_trachea_intact_orc4_14_17h_ATAC_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
Trachea_mut,ATAC,150,150,dme_trachea_intact_orc4_14_17h_ATAC_3.bam_from0to100_rpm.bw,NA,FALSE,3,0,0.85,"""#6C1E10"""
Gut,ATAC,150,150,Gut_INTACT_14_17h_ATAC_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
Gut,ATAC,150,150,Gut_INTACT_14_17h_ATAC_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
Gut_mut,ATAC,150,150,dme_gut_intact_orc4_14_17h_ATAC_1.bam_from0to100_rpm.bw,NA,FALSE,1,0,0.85,"""#6C1E10"""
Gut_mut,ATAC,150,150,dme_gut_intact_orc4_14_17h_ATAC_2.bam_from0to100_rpm.bw,NA,FALSE,2,0,0.85,"""#6C1E10"""
Gut_mut,ATAC,150,150,dme_gut_intact_orc4_14_17h_ATAC_3.bam_from0to100_rpm.bw,NA,FALSE,3,0,0.85,"""#6C1E10"""
Epidermis,Lola,0,200,Epidermis_7021_INTACT_Rpb3_14-17h_1_rpm.bw,Epidermis_7021_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Epidermis,Lola,0,200,Epidermis_7021_INTACT_Rpb3_14-17h_2_rpm.bw,Epidermis_7021_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Gut,Lola,0,200,Gut_110394_INTACT_Rpb3_14-17h_1_rpm.bw,Gut_110394_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Gut,Lola,0,200,Gut_110394_INTACT_Rpb3_14-17h_2_rpm.bw,Gut_110394_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Muscle,Lola,0,200,Muscle_mef2_INTACT_Rpb3_14-17h_1_rpm.bw,Muscle_mef2_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Muscle,Lola,0,200,Muscle_mef2_INTACT_Rpb3_14-17h_2_rpm.bw,Muscle_mef2_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Neuron,Lola,0,200,Neuron_elav_INTACT_Rpb3_14-17h_1_rpm.bw,Neuron_elav_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Neuron,Lola,0,200,Neuron_elav_INTACT_Rpb3_14-17h_2_rpm.bw,Neuron_elav_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
Trachea,Lola,0,200,Trachea_8807_INTACT_Rpb3_14-17h_1_rpm.bw,Trachea_8807_INTACT_WCE_14-17h_1_rpm.bw,TRUE,1,2,0.8,"""#3d5782"""
Trachea,Lola,0,200,Trachea_8807_INTACT_Rpb3_14-17h_2_rpm.bw,Trachea_8807_INTACT_WCE_14-17h_2_rpm.bw,TRUE,2,2,0.8,"""#3d5782"""
