condition,factor,bw,color
epidermis,polii,data/chipseq/bw/tissue_specific_data/epidermis_7021_intact_rpb3_3_id1546_ext145.bw_RPM_.bw,"""#FCB13C"""
glia,polii,data/chipseq/bw/tissue_specific_data/glia_repo_intact_rpb3_4_id1475_ext162.bw_RPM_.bw,"""#FCB13C"""
gut,polii,data/chipseq/bw/tissue_specific_data/gut_110394_intact_rpb3_2_id1408_ext166.bw_RPM_.bw,"""#FCB13C"""
muscle,polii,data/chipseq/bw/tissue_specific_data/muscle_mef2_intact_rpb3_07_19_3rr_id1238_ext147.bw_RPM_.bw,"""#FCB13C"""
neuron,polii,data/chipseq/bw/tissue_specific_data/neuron_elav_intact_rpb3_3_id1490_ext157.bw_RPM_.bw,"""#FCB13C"""
trachea,polii,data/chipseq/bw/tissue_specific_data/trachea_8807_intact_rpb3_2_id1407_ext159.bw_RPM_.bw,"""#FCB13C"""
epidermis,Lola,data/chipseq/bw/tissue_specific_data/dme_epi_intact_orer_lola_pi_1_id2546_ext140.bw_RPM_.bw,"""#484b4f"""
gut,Lola,data/chipseq/bw/tissue_specific_data/dme_gut_intact_orer_lola_pi_1_id2549_ext148.bw_RPM_.bw,"""#484b4f"""
muscle,Lola,data/chipseq/bw/tissue_specific_data/dme_muscle_intact_orer_lola_pi_1_id2550_ext169.bw_RPM_.bw,"""#484b4f"""
neuron,Lola,data/chipseq/bw/tissue_specific_data/dme_elav_intact_orer_lola_pi_1_id2547_ext138.bw_RPM_.bw,"""#484b4f"""
trachea,Lola,data/chipseq/bw/tissue_specific_data/dme_trachea_intact_orer_lola_pi_1_id2548_ext152.bw_RPM_.bw,"""#484b4f"""
epidermis,GAF,data/chipseq/bw/tissue_specific_data/epidermis_7021_intact_gaf_1_id1862_ext148.bw_RPM_.bw,"""#808080"""
gut,GAF,data/chipseq/bw/tissue_specific_data/dme_gut_intact_orer_gaf_1_id2553_ext149.bw_RPM_.bw,"""#808080"""
muscle,GAF,data/chipseq/bw/tissue_specific_data/muscle_mef2_intact_gaf_2_id1861_ext165.bw_RPM_.bw,"""#808080"""
neuron,GAF,data/chipseq/bw/tissue_specific_data/dme_elav_intact_orer_gaf_1_id2551_ext138.bw_RPM_.bw,"""#808080"""
trachea,GAF,data/chipseq/bw/tissue_specific_data/dme_trachea_intact_orer_gaf_1_id2552_ext159.bw_RPM_.bw,"""#808080"""
