TSS_ID	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
ENST00000400754	1.560234	1.2434045	0	8.975175	NaN	18.3978	3.14992	18.8295	0.03957145	2.273775	0.611843	NaN	0.0974296	6.384715	NaN
ENST00000416067	1.560234	1.2434045	0	8.92384	NaN	18.3978	3.14992	18.8679	0.03957145	2.273775	0.611843	NaN	0.0974296	6.359125	NaN
ENST00000470054	0	0	0.02982585	0	NaN	11.09465	0	0	0	0	0	NaN	0	6.45332	NaN
ENST00000474011	0	0	0.02982585	0	NaN	12.33945	0	0	0	0	0	NaN	0	7.587425	NaN
ENST00000428809	0.5068785	0.1334623	3.544295	0.6938775	NaN	5.376825	0.4525865	0.8826745	0.63474	26.63655	6.4749	NaN	0.4123345	1.1934085	NaN
ENST00000448463	0.5068785	0.1334623	3.544295	0.6938775	NaN	5.376825	0.4525865	0.8826745	0.63474	26.63655	6.4749	NaN	0.4123345	1.1934085	NaN
ENST00000544452	82.3304	122.712	14.30475	30.3711	NaN	11.96662	5.068615	89.3533	65.9614	6.29892	17.86155	NaN	17.11605	21.13525	NaN
ENST00000285667	59.10685	93.9889	9.247485	23.5486	NaN	9.333845	3.808495	70.7019	48.0173	4.81777	12.1706	NaN	11.47165	14.67835	NaN
ENST00000463807	0	0	0	0	NaN	4.005285	0	0	0	0.658074	0	NaN	0.1954921	0	NaN
ENST00000493640	0	0	0.0267436	0	NaN	446.5995	0	0	0	34.50945	0.0252246	NaN	9.90235	0	NaN
ENST00000400564	0	0	0.0267436	0	NaN	386.9565	0	0	0	34.86635	0.0252246	NaN	9.57985	0	NaN
ENST00000400566	0	0	0.0267436	0	NaN	353.894	0	0	0	33.8375	0.0252246	NaN	9.312715	0	NaN
ENST00000455253	0	0	0	0	NaN	26.2468	0	0	0	0.03126025	0	NaN	0	0	NaN
ENST00000318948	2.84448	0.5828215	0.19028735	1.359535	NaN	0.218587	0.6638105	0	1.142215	0.317758	0.2434465	NaN	0.3645695	2.76839	NaN
ENST00000400202	5.67916	4.920145	2.1908	21.60465	NaN	6.199885	13.46425	0.375552	5.539665	3.85386	3.37306	NaN	5.624325	38.72335	NaN
ENST00000419952	0.0442981	0.1757063	0	0	NaN	0	0	0	0.301861	0	2.28195	NaN	0.847919	0	NaN
ENST00000445461	1.19095	0.1824355	0	0	NaN	0	0	0	0.0636335	0	3.94188	NaN	0.5575295	0	NaN
ENST00000435697	0.2583391	0	0	0	NaN	0	0.0271501	7.9482	0.079143	0.1163395	3.008965	NaN	9.78343	2.667205	NaN
ENST00000453910	0.1156451	0	0	0.0265183	NaN	0	0.0543	0.57018	0	0	5.9532	NaN	10.602915	1.118985	NaN
ENST00000440664	0	0	0.02982585	12.8896	NaN	0	0	0	0	0	0	NaN	0	0	NaN
ENST00000400166	10.177195	0	436.759	199.3505	NaN	0.12035735	121.065	10.322165	0.373249	0.05816965	135.3345	NaN	11.8343	1.49005	NaN
ENST00000339775	3.004425	5.95308	2.27103	2.55656	NaN	3.57585	3.32403	3.580055	6.108375	5.50791	3.94325	NaN	2.40915	1.357453	NaN
ENST00000464058	5.65211	8.66456	3.899215	3.811725	NaN	4.86793	5.500535	6.83664	9.67086	8.88771	9.290085	NaN	5.064725	1.918115	NaN
ENST00000457956	3.74024	4.51565	2.941615	3.38643	NaN	2.746085	3.69417	5.060315	5.53031	5.09363	8.784615	NaN	3.91583	1.3621015	NaN
ENST00000348354	3.56305	4.25546	2.77807	3.030485	NaN	2.71759	3.508105	4.969855	5.39529	4.68209	8.034525	NaN	3.577675	1.3109225	NaN
ENST00000493464	8.663985	31.2802	24.46565	1.940535	NaN	11.0534	22.10175	23.28265	29.29805	51.4597	11.69324	NaN	4.383525	8.509975	NaN
ENST00000284881	8.442495	30.59945	23.32195	1.81475	NaN	10.94245	21.5909	22.5494	28.88525	49.6703	11.626415	NaN	4.214445	8.29942	NaN
ENST00000424219	0	0	0	0	NaN	0	0	0	0	5.57639	0	NaN	0	0	NaN
ENST00000400546	0	0.0422444	0.053487	0	NaN	0	0	8.673295	0.373249	0.03126025	0	NaN	0.071648	0.828202	NaN
ENST00000284894	0	0.1334623	0	0	NaN	0	0	6.01017	0.29410595	0	0	NaN	0.0238826	0.5443725	NaN
ENST00000535285	0	0	0	0	NaN	62.70125	0	0	0	0.6754775	0	NaN	0	0	NaN
ENST00000508782	0	0	0	0	NaN	63.0529	0	0	0	0.6754775	0	NaN	0	0	NaN
ENST00000486367	0	0	0	0	NaN	0.056994	0	0.04523115	0	0	0.449545	NaN	0	5.69388	NaN
ENST00000262354	0	0	59.28325	0	NaN	0	0	0	0	0	0	NaN	0.071648	0	NaN
ENST00000535533	0	0	0.02982585	0	NaN	0.12035735	0	0	0.460147	2.022885	4.873045	NaN	0.02451565	0	NaN
ENST00000423581	0	0	0.02982585	0	NaN	0.12035735	0	0	0.4205755	2.022885	4.89827	NaN	0.02451565	0	NaN
ENST00000415182	0	0	0.02982585	0	NaN	0.12035735	0	0	0.3887585	1.9109	4.61317	NaN	0.02451565	0	NaN
ENST00000465390	0	0	0	0	NaN	0	0	0	0	7.727865	0	NaN	0	0	NaN
ENST00000419219	16.5455	15.4816	21.85195	7.791765	NaN	27.4582	13.6979	17.21495	12.2921	26.95205	21.62065	NaN	9.36396	11.566815	NaN
ENST00000352957	16.7325	15.48835	21.709	7.74043	NaN	27.62275	13.5893	17.21495	12.2603	26.41625	21.5954	NaN	9.389095	11.381895	NaN
ENST00000312957	0.0442981	0.407115	4.37126	0	NaN	0	0	8.523895	2.18202	15.9535	0	NaN	0.2419915	0.102358	NaN
ENST00000425221	0	0.0422444	9.29081	0	NaN	0	0	2.94136	0.7456995	12.91285	0	NaN	0.07228085	0	NaN
ENST00000284971	12.97265	9.61037	10.5599	3.40004	NaN	30.5016	7.687735	19.0063	13.2929	10.60509	18.33555	NaN	11.08211	5.3891	NaN
ENST00000400099	3.917435	15.58365	13.0212	2.48381	NaN	17.41115	3.363135	33.59515	19.731	4.335815	6.20545	NaN	30.1914	2.6742	NaN
ENST00000457143	3.917435	15.6259	13.0212	2.508625	NaN	17.43965	3.363135	33.64035	19.731	4.335815	6.20545	NaN	30.1914	2.6742	NaN
ENST00000400075	5.54392	8.873915	15.78695	4.15306	NaN	15.19785	7.09966	7.849555	8.214445	20.20675	17.70905	NaN	12.4724	6.19047	NaN
ENST00000487266	5.65956	9.04962	16.2899	4.28565	NaN	15.5083	7.36817	7.96057	8.349465	20.61395	18.0753	NaN	12.71305	6.298645	NaN
ENST00000400090	3.07342	7.87725	3.029005	2.387945	NaN	8.80216	4.174905	7.81524	10.28235	4.15421	13.69575	NaN	6.94167	7.00479	NaN
ENST00000400087	3.162015	7.86379	3.088655	2.387945	NaN	8.80216	4.22921	7.86732	10.4251	4.15421	13.914	NaN	6.747445	6.84541	NaN
ENST00000400093	2.709235	6.07981	2.71325	2.02519	NaN	7.560395	3.516075	6.37336	8.69546	3.64809	12.11465	NaN	5.248365	5.33792	NaN
ENST00000456209	5.801855	4.474525	3.69034	5.375895	NaN	0	5.517215	5.77031	4.91884	0.5096705	0.900264	NaN	3.271	2.00649	NaN
ENST00000491395	35.03975	36.7675	30.428085	13.3917	NaN	0	100.83125	22.908265	52.53475	5.232525	16.48355	NaN	60.30775	15.128575	NaN
ENST00000415997	35.18245	36.81645	30.48468	13.4431	NaN	0	100.9934	22.908265	52.56655	5.232525	16.51425	NaN	60.38065	15.128575	NaN
ENST00000448850	0.853814	1.04564	2.04575	2.53174	NaN	0	4.277275	1.51591	1.6823	0.2413805	0.930964	NaN	2.811535	0.60485	NaN
ENST00000346798	0.7554185	2.15371	4.46183	3.26505	NaN	0	15.83555	2.84678	2.55607	0.5729945	1.4190305	NaN	18.339	2.2891125	NaN
ENST00000474136	40.46095	86.42005	159.501	62.26295	NaN	0	418.769	124.47175	103.09495	24.8194	173.142	NaN	476.1345	39.53215	NaN
ENST00000354192	40.6652	86.82055	160.5795	62.46825	NaN	0	422.268	124.80195	103.54735	25.05645	173.467	NaN	476.7845	39.8555	NaN
ENST00000452232	41.48215	87.58375	163.7205	63.03635	NaN	0	422.864	125.61245	103.72955	25.48185	174.7165	NaN	470.481	40.2673	NaN
ENST00000357903	41.77495	86.0956	164.431	62.55635	NaN	0	414.7575	124.21845	101.47535	25.07385	172.722	NaN	446.5445	39.8683	NaN
ENST00000359726	22.247	41.8958	74.3955	25.59765	NaN	0	164.4755	60.53635	49.0236	12.3866	43.85245	NaN	119.6395	22.09485	NaN
ENST00000448388	0.071347	0.1334623	1.625105	0.0513353	NaN	0	3.94823	0.09731365	0.03181685	0	0.1063737	NaN	0.19296	0.13376855	NaN
ENST00000357401	0	7.42976	0.0596515	0	NaN	0	7.49669	0.51397465	8.16552	0.3577195	0.4397685	NaN	0.3626705	0.072119	NaN
ENST00000400043	0	0	10.86144	0	NaN	0	0.292674	0	0	0	0	NaN	6.572035	0	NaN
ENST00000299340	0	0	19.48875	0	NaN	0	4.89003	0	0	0	0	NaN	20.5528	0	NaN
ENST00000517777	0	0.322626	0	0	NaN	0	0.2122205	0.04523115	0.1745935	0	2.173228	NaN	0.073547	0	NaN
ENST00000284984	0.2928375	1206.405	16.15305	0.074451	NaN	0	365.38	80.05225	651.19	0	318.384	NaN	12.6503	0.0360596	NaN
ENST00000303775	30.20925	32.96285	13.232	3.40004	NaN	22.444	9.650025	54.3408	32.56485	11.9125	10.521215	NaN	7.4546	9.723195	NaN
ENST00000486719	18.93445	41.82855	8.60044	10.16298	NaN	23.9299	16.39895	45.3921	36.3607	15.64215	42.74005	NaN	16.9157	21.25505	NaN
ENST00000286777	18.93445	41.3725	8.51099	10.06201	NaN	23.68285	16.2652	45.23585	36.11475	15.42255	41.9802	NaN	16.6731	21.1166	NaN
ENST00000471269	18.89015	40.5074	8.45134	9.93624	NaN	23.2614	15.704	44.815	35.49625	15.0917	41.11395	NaN	15.99235	20.6909	NaN
ENST00000493196	16.4369	31.10635	6.569125	8.37646	NaN	17.16345	11.50821	37.4891	28.93395	11.18485	31.89545	NaN	11.72505	17.10475	NaN
ENST00000399975	43.27485	45.2997	11.26965	17.35985	NaN	23.84035	10.499625	36.39675	39.5561	20.61345	31.0955	NaN	15.9071	21.7169	NaN
ENST00000334352	63.2058	67.24465	15.4054	21.58225	NaN	36.99815	15.47585	52.17935	56.15155	28.9856	50.12615	NaN	24.82455	31.1051	NaN
ENST00000399973	65.2235	70.07615	15.97725	21.83215	NaN	38.9909	16.09235	54.20925	57.9681	29.79555	51.8039	NaN	25.86545	31.76345	NaN
