TSS_ID	Gene_ID	Gene_Name	Strand	RE_Locus	Distance	Histone	Correlation_Sign	Score	TSS_Score
ENST00000300255	ENSG00000166979	C21orf63	+	chr21:33814786-33815326	30097	H3k27ac	+	1.268e-10	1.249e-07
ENST00000300255	ENSG00000166979	C21orf63	+	chr21:33836207-33836567	51518	H3k27ac	+	2.616e-01	1.249e-07
ENST00000300255	ENSG00000166979	C21orf63	+	chr21:33829737-33830277	45048	H3k27ac	+	2.816e-01	1.249e-07
ENST00000300255	ENSG00000166979	C21orf63	+	chr21:34144081-34144621	359392	H3k27ac	+	7.144e-01	1.249e-07
ENST00000300255	ENSG00000166979	C21orf63	+	chr21:33805254-33805794	20565	H3k27ac	-	8.542e-01	1.249e-07
ENST00000401402	ENSG00000166979	C21orf63	+	chr21:33814786-33815326	29793	H3k27ac	+	9.171e-06	8.993e-03
ENST00000401402	ENSG00000166979	C21orf63	+	chr21:33829737-33830277	44744	H3k27ac	+	2.005e-01	8.993e-03
ENST00000401402	ENSG00000166979	C21orf63	+	chr21:33836207-33836567	51214	H3k27ac	+	2.342e-01	8.993e-03
ENST00000401402	ENSG00000166979	C21orf63	+	chr21:33805254-33805794	20261	H3k27ac	-	6.508e-01	8.993e-03
ENST00000401402	ENSG00000166979	C21orf63	+	chr21:34144081-34144621	359088	H3k27ac	+	8.353e-01	8.993e-03
ENST00000382699	ENSG00000166979	C21orf63	+	chr21:33814786-33815326	29776	H3k27ac	+	1.480e-05	1.447e-02
ENST00000382699	ENSG00000166979	C21orf63	+	chr21:33829737-33830277	44727	H3k27ac	+	1.987e-01	1.447e-02
ENST00000382699	ENSG00000166979	C21orf63	+	chr21:33836207-33836567	51197	H3k27ac	+	2.392e-01	1.447e-02
ENST00000382699	ENSG00000166979	C21orf63	+	chr21:33805254-33805794	20244	H3k27ac	-	6.431e-01	1.447e-02
ENST00000382699	ENSG00000166979	C21orf63	+	chr21:34144081-34144621	359071	H3k27ac	+	8.622e-01	1.447e-02
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17542063-17542603	-24185	H3k27ac	+	8.680e-05	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17552086-17552431	-14357	H3k27ac	+	8.680e-05	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17936129-17936429	369341	H3k27ac	+	6.771e-03	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17566157-17566697	-91	H3k4me3	+	1.166e-01	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17496646-17497186	-69602	H3k27ac	+	1.536e-01	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17566157-17566697	-91	H3k27ac	+	1.576e-01	1.279e-01
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17126871-17127411	-439377	H3k27ac	-	4.872e-01	1.279e-01
