TSS_ID	TSS_Locus	Strand	RE_Locus	Correlation	Score	RE_Score	Best_RE	TSS_Score	Best_TSS	Gene_Score	Distance	Histone	Best_Histone	Gene_ID	Gene_Name	Loci_per_TSS	Num_TSSes	TSSes_per_Gene	Num_Genes
ENST00000300255	chr21:33784689-33784689	+	chr21:33814786-33815326	0.99678	1.268e-10	6.340e-10	T	1.249e-07	T	1.927e-07	30097	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000300255	chr21:33784689-33784689	+	chr21:33829737-33830277	0.49171	2.816e-01	6.340e-10	F	1.249e-07	F	1.927e-07	45048	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000300255	chr21:33784689-33784689	+	chr21:33836207-33836567	0.50894	2.616e-01	6.340e-10	F	1.249e-07	F	1.927e-07	51518	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000300255	chr21:33784689-33784689	+	chr21:34144081-34144621	0.18096	7.144e-01	6.340e-10	F	1.249e-07	F	1.927e-07	359392	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000300255	chr21:33784689-33784689	+	chr21:33805254-33805794	-0.09160	8.542e-01	6.340e-10	F	1.249e-07	F	1.927e-07	20565	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000401402	chr21:33784993-33784993	+	chr21:33814786-33815326	0.97659	9.171e-06	4.586e-05	T	8.993e-03	F	1.927e-07	29793	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000401402	chr21:33784993-33784993	+	chr21:33829737-33830277	0.56491	2.005e-01	4.586e-05	F	8.993e-03	F	1.927e-07	44744	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000401402	chr21:33784993-33784993	+	chr21:33836207-33836567	0.53336	2.342e-01	4.586e-05	F	8.993e-03	F	1.927e-07	51214	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000401402	chr21:33784993-33784993	+	chr21:34144081-34144621	0.10357	8.353e-01	4.586e-05	F	8.993e-03	F	1.927e-07	359088	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000401402	chr21:33784993-33784993	+	chr21:33805254-33805794	-0.22256	6.508e-01	4.586e-05	F	8.993e-03	F	1.927e-07	20261	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000382699	chr21:33785010-33785010	+	chr21:33814786-33815326	0.97405	1.480e-05	7.400e-05	T	1.447e-02	F	1.927e-07	29776	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000382699	chr21:33785010-33785010	+	chr21:33829737-33830277	0.56673	1.987e-01	7.400e-05	F	1.447e-02	F	1.927e-07	44727	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000382699	chr21:33785010-33785010	+	chr21:33836207-33836567	0.52884	2.392e-01	7.400e-05	F	1.447e-02	F	1.927e-07	51197	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000382699	chr21:33785010-33785010	+	chr21:34144081-34144621	0.08654	8.622e-01	7.400e-05	F	1.447e-02	F	1.927e-07	359071	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000382699	chr21:33785010-33785010	+	chr21:33805254-33805794	-0.22763	6.431e-01	7.400e-05	F	1.447e-02	F	1.927e-07	20244	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17496646-17497186	0.61281	1.536e-01	6.944e-04	F	1.279e-01	F	1.904e-01	-69602	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17542063-17542603	0.96127	8.680e-05	6.944e-04	F	1.279e-01	F	1.904e-01	-24185	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
