RE_Locus	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
chr21:44860418-44861441	NaN	NaN	0	7.119544	0	0	2.865757	NaN	NaN	6.920019	10.382949	0	0	NaN	0
chr21:44762737-44763466	NaN	NaN	0	13.695538	0	0	0	NaN	NaN	0	7.415156	0	0	NaN	0
chr21:39511716-39512242	NaN	NaN	0	0	0	0	0	NaN	NaN	0	7.160884	0	0	NaN	0
chr21:38282033-38282644	NaN	NaN	0	0	0	0	0	NaN	NaN	0	5.128305	0	0	NaN	0
chr21:45005896-45006413	NaN	NaN	0	7.395981	11.412592	0	10.877065	NaN	NaN	0	4.844666	3.549834	14.776454	NaN	5.250085
chr21:45132032-45132841	NaN	NaN	0	16.076725	16.229465	8.481546	13.408384	NaN	NaN	0	13.318171	0	0	NaN	0
chr21:44936642-44937264	NaN	NaN	0	18.836276	3.039403	0	6.998881	NaN	NaN	0	7.355072	4.127424	14.776454	NaN	0
chr21:44753164-44753648	NaN	NaN	0	14.396742	9.402279	0	9.738567	NaN	NaN	0	13.740635	11.583623	0	NaN	5.036764
chr21:38255994-38256567	NaN	NaN	0	0	0	0	0	NaN	NaN	0	4.856799	0	0	NaN	0
chr21:44764159-44764667	NaN	NaN	0	0	0	0	0	NaN	NaN	0	7.415156	0	0	NaN	0
chr21:46749983-46750391	NaN	NaN	0	21.368161	5.875121	0	6.137977	NaN	NaN	0	5.558228	0	0	NaN	0
chr21:43098486-43098869	NaN	NaN	0	18.886304	0	3.617194	12.210927	NaN	NaN	0	13.169192	12.217246	0	NaN	0
chr21:44922239-44922750	NaN	NaN	0	5.257458	3.039403	0	0	NaN	NaN	0	11.197973	0	0	NaN	0
chr21:16816379-16817396	NaN	NaN	4.598102	16.352604	0	0	0	NaN	NaN	3.330617	0	0	0	NaN	0
chr21:40174622-40175024	NaN	NaN	8.007117	22.905787	0	13.615389	12.140339	NaN	NaN	0	0	16.426572	0	NaN	8.115597
