"","seqnames","start","end","width","strand","name","score","nearest_gene_id","nearest_gene","distance_to_tss","inside_gene","location","lola_motif"
"1","chr2L",21397333,21397532,200,"*","lola_i_peaks_1_peak_323",4288.05762,"FBgn0032946","nrv3",17299,"FALSE","distal",2
"2","chr3L",16930590,16930789,200,"*","lola_i_peaks_1_peak_968",4154.95703,"FBgn0036678","CG11905",3255,"TRUE","distal",1
"3","chr3R",10100643,10100842,200,"*","lola_i_peaks_1_peak_1183",3950.8147,"FBgn0263413","lncRNA:CR43459",192,"TRUE","promoter",2
"4","chrX",13563545,13563744,200,"*","lola_i_peaks_1_peak_1653",2978.07568,"FBgn0086674","Tango13",177,"FALSE","promoter",2
"5","chr3R",26261536,26261735,200,"*","lola_i_peaks_1_peak_1418",2608.04272,"FBgn0000064","Ald",44,"FALSE","promoter",3
"6","chr2R",8396741,8396940,200,"*","lola_i_peaks_1_peak_398",2355.2876,"FBgn0033289","CG2121",9470,"TRUE","distal",1
"7","chr2L",12974158,12974357,200,"*","lola_i_peaks_1_peak_205",2173.13135,"FBgn0263598","Vha68-2",63,"FALSE","promoter",3
"8","chrX",1772704,1772903,200,"*","lola_i_peaks_1_peak_1537",2165.37964,"FBgn0283741","prage",914,"FALSE","distal",1
"9","chr3L",18801413,18801612,200,"*","lola_i_peaks_1_peak_1017",2042.17615,"FBgn0267601","lncRNA:CR45939",200,"FALSE","promoter",3
"10","chr3R",30134286,30134485,200,"*","lola_i_peaks_1_peak_1459",2035.54004,"FBgn0086355","Tpi",76,"TRUE","promoter",2
"11","chr2R",12665808,12666007,200,"*","lola_i_peaks_1_peak_493",1908.50574,"FBgn0261673","nemy",108,"TRUE","promoter",2
"12","chr2R",20884462,20884661,200,"*","lola_i_peaks_1_peak_617",1877.95129,"FBgn0015524","otp",4631,"TRUE","distal",3
"13","chr3L",1188906,1189105,200,"*","lola_i_peaks_1_peak_734",1862.0166,"FBgn0035186","CG13912",581,"FALSE","distal",3
"14","chr3R",9784421,9784620,200,"*","lola_i_peaks_1_peak_1173",1824.61609,"FBgn0037754","CG8500",131,"FALSE","promoter",2
"15","chr2L",2130182,2130381,200,"*","lola_i_peaks_1_peak_50",1766.61475,"FBgn0004507","GlyP",530,"FALSE","distal",2
"16","chr3L",342938,343137,200,"*","lola_i_peaks_1_peak_720",1759.01233,"FBgn0261985","Ptpmeg",122,"TRUE","promoter",3
"17","chrX",4667064,4667263,200,"*","lola_i_peaks_1_peak_1574",1709.15015,"FBgn0029720","CG3009",463,"FALSE","distal",2
"18","chr3R",5282858,5283057,200,"*","lola_i_peaks_1_peak_1106",1645.36707,"FBgn0013576","mtd",420,"TRUE","distal",3
"19","chr2R",10160027,10160226,200,"*","lola_i_peaks_1_peak_451",1645.3667,"FBgn0033494","KCNQ",1195,"TRUE","distal",4
"20","chr2R",16551982,16552181,200,"*","lola_i_peaks_1_peak_553",1468.48425,"FBgn0034135","Syn2",175,"FALSE","promoter",2
"21","chr3R",26103509,26103708,200,"*","lola_i_peaks_1_peak_1412",1461.24207,"FBgn0051324","CG31324",3258,"FALSE","distal",3
"22","chr3L",6689037,6689236,200,"*","lola_i_peaks_1_peak_820",1437.75061,"FBgn0035710","SP1173",3516,"FALSE","distal",1
"23","chr2L",14706258,14706457,200,"*","lola_i_peaks_1_peak_228",1423.82715,"FBgn0028855","CG15282",6112,"FALSE","distal",3
"24","chrX",1399798,1399997,200,"*","lola_i_peaks_1_peak_1528",1310.07068,"FBgn0024985","CG11448",6843,"FALSE","distal",1
"25","chrX",8574105,8574304,200,"*","lola_i_peaks_1_peak_1608",1284.16003,"FBgn0030052","CG12065",100,"FALSE","promoter",3
"26","chr3L",5512030,5512229,200,"*","lola_i_peaks_1_peak_803",1272.67334,"FBgn0085371","CG34342",1269,"FALSE","distal",3
"27","chr2L",10774129,10774328,200,"*","lola_i_peaks_1_peak_176",1270.58118,"FBgn0051869","CG31869",3297,"TRUE","distal",1
"28","chr3R",4378776,4378975,200,"*","lola_i_peaks_1_peak_1095",1256.25525,"FBgn0037239","Sfxn1-3",48,"TRUE","promoter",3
"29","chrX",5916245,5916444,200,"*","lola_i_peaks_1_peak_1587",1212.10022,"FBgn0029823","Shmt",27,"TRUE","promoter",3
"30","chr3R",20908744,20908943,200,"*","lola_i_peaks_1_peak_1337",1181.99255,"FBgn0264915","asRNA:CR44106",2795,"FALSE","distal",2
"31","chr2L",15643865,15644064,200,"*","lola_i_peaks_1_peak_238",1178.05786,"FBgn0028518","CG18480",13881,"FALSE","distal",2
"32","chr3L",3239540,3239739,200,"*","lola_i_peaks_1_peak_763",1174.04431,"FBgn0035425","CG17746",61,"FALSE","promoter",2
"33","chr3L",17596904,17597103,200,"*","lola_i_peaks_1_peak_983",1166.81421,"FBgn0000567","Eip74EF",20377,"TRUE","distal",4
"34","chrX",3570341,3570540,200,"*","lola_i_peaks_1_peak_1566",1156.41016,"FBgn0052792","ppk8",936,"TRUE","distal",1
"35","chr3R",21246765,21246964,200,"*","lola_i_peaks_1_peak_1344",1102.2373,"FBgn0038874","ETHR",145,"FALSE","promoter",4
"36","chr2L",73131,73330,200,"*","lola_i_peaks_1_peak_3",1096.9126,"FBgn0266322","asRNA:CR44987",253,"TRUE","promoter",1
"37","chr3L",18026069,18026268,200,"*","lola_i_peaks_1_peak_1001",1089.2196,"FBgn0000568","Eip75B",136,"TRUE","promoter",3
"38","chr2R",15424410,15424609,200,"*","lola_i_peaks_1_peak_539",1060.17383,"FBgn0263980","CG43729",296,"TRUE","promoter",2
"39","chr3R",12121295,12121494,200,"*","lola_i_peaks_1_peak_1214",1055.06372,"FBgn0037992","CG4702",6805,"FALSE","distal",3
"40","chrX",7678939,7679138,200,"*","lola_i_peaks_1_peak_1602",1034.6709,"FBgn0267227","lncRNA:CR45667",581,"FALSE","distal",2
"41","chr3R",25652165,25652364,200,"*","lola_i_peaks_1_peak_1405",1023.68994,"FBgn0262388","mir-92b",866,"FALSE","distal",1
"42","chr2L",18944213,18944412,200,"*","lola_i_peaks_1_peak_277",988.88788,"FBgn0032723","ssp3",352,"FALSE","promoter",2
"43","chr2L",4810140,4810339,200,"*","lola_i_peaks_1_peak_92",978.99054,"FBgn0266835","lncRNA:CR45297",1704,"FALSE","distal",2
"44","chr3R",22094074,22094273,200,"*","lola_i_peaks_1_peak_1352",972.2821,"FBgn0040582","CG5791",6990,"FALSE","distal",1
"45","chr2R",16135567,16135766,200,"*","lola_i_peaks_1_peak_547",951.50867,"FBgn0086676","spin",2684,"TRUE","distal",1
"46","chr2R",23614795,23614994,200,"*","lola_i_peaks_1_peak_666",926.93225,"FBgn0034883","Eglp2",184,"TRUE","promoter",1
"47","chr3R",13260173,13260372,200,"*","lola_i_peaks_1_peak_1227",897.78589,"FBgn0040551","CG11686",82,"FALSE","promoter",3
"48","chr3L",18106105,18106304,200,"*","lola_i_peaks_1_peak_1007",852.56091,"FBgn0036773","CG13698",55,"FALSE","promoter",3
"49","chr3R",17603725,17603924,200,"*","lola_i_peaks_1_peak_1292",843.23798,"FBgn0038524","sll",2280,"FALSE","distal",1
"50","chr3L",8360907,8361106,200,"*","lola_i_peaks_1_peak_854",816.76343,"FBgn0001248","Idh",100,"FALSE","promoter",2
"51","chr3R",30195583,30195782,200,"*","lola_i_peaks_1_peak_1462",792.17627,"FBgn0039755","CG15531",544,"TRUE","distal",2
"52","chrX",1560138,1560337,200,"*","lola_i_peaks_1_peak_1534",789.40149,"FBgn0025390","Mur2B",1837,"TRUE","distal",3
"53","chrX",658144,658343,200,"*","lola_i_peaks_1_peak_1513",783.96558,"FBgn0025637","SkpA",1169,"FALSE","distal",2
"54","chr2R",14903733,14903932,200,"*","lola_i_peaks_1_peak_531",777.56445,"FBgn0027596","Kank",16,"TRUE","promoter",2
"55","chr2R",21608148,21608347,200,"*","lola_i_peaks_1_peak_633",765.36823,"FBgn0262888","asRNA:CR43243",122,"TRUE","promoter",5
"56","chrX",20792170,20792369,200,"*","lola_i_peaks_1_peak_1738",753.03595,"FBgn0085387","shakB",582,"TRUE","distal",3
"57","chr3L",4532112,4532311,200,"*","lola_i_peaks_1_peak_795",742.07593,"FBgn0014073","Tie",66,"FALSE","promoter",1
"58","chr3L",7837159,7837358,200,"*","lola_i_peaks_1_peak_841",732.96967,"FBgn0016694","Pdp1",4185,"TRUE","distal",2
"59","chr3R",30527396,30527595,200,"*","lola_i_peaks_1_peak_1466",732.37488,"FBgn0027654","jdp",458,"FALSE","distal",2
"60","chr3L",19091779,19091978,200,"*","lola_i_peaks_1_peak_1026",728.19818,"FBgn0036846","MESR6",790,"FALSE","distal",2
"61","chr3R",29907760,29907959,200,"*","lola_i_peaks_1_peak_1457",727.86017,"FBgn0051036","CG31036",246,"FALSE","promoter",3
"62","chr2L",14011605,14011804,200,"*","lola_i_peaks_1_peak_219",719.7182,"FBgn0028909","tRNA:Gln-CTG-4-1",1068,"FALSE","distal",4
"63","chr2R",7245743,7245942,200,"*","lola_i_peaks_1_peak_367",708.91455,"FBgn0026602","Ady43A",66,"FALSE","promoter",2
"64","chr3L",18019717,18019916,200,"*","lola_i_peaks_1_peak_999",680.45691,"FBgn0000568","Eip75B",6214,"TRUE","distal",3
"65","chr3R",4187348,4187547,200,"*","lola_i_peaks_1_peak_1090",671.1012,"FBgn0000500","Dsk",2811,"FALSE","distal",3
